d_org,d_in,n,T80_h,wvtr,t_lag_h,Tmax_C,Topt,cost_min,weight,dur_yr,pareto,pareto4
100.0,69.0,1,272.5252671586996,0.0008807890136180886,0.04230439542382678,65.78886996041086,0.908968339330084,720.7482993197278,0.33590000000000003,0.023209413070891544,1,0
100.0,69.0,2,933.255639426933,0.00025807213110372074,3.283081082217566,65.78513051342566,0.9088398464320693,1441.4965986394557,0.6718000000000001,0.023222345371563938,1,0
100.0,69.0,3,1596.7405297426749,0.00015118470661264297,9.278375816520203,65.78139155773897,0.9087113716979707,2162.2448979591836,1.0077,0.023235284078745463,1,0
100.0,69.0,4,2263.2789211401255,0.00010690652930631645,18.327171632530966,65.77765309329158,0.9085829151252207,2882.9931972789113,1.3436000000000001,0.02324822919509034,1,0
100.0,69.0,5,2932.8988823287905,8.268900951472556e-05,30.45753723975623,65.7739151200243,0.9084544767112521,3603.741496598639,1.6795,0.02326118072325345,1,0
100.0,69.0,6,3605.607745790682,6.741703813917207e-05,45.67680512020872,65.77017763787796,0.908326056453498,4324.489795918367,2.0154,0.023274138665890492,1,0
100.0,72.0,1,230.1721772180999,0.0010428666243560854,0.03728326827459379,65.7887906015373,0.9089656124291565,751.360544217687,0.34490000000000004,0.019576527964954987,1,0
100.0,72.0,2,770.3612074982175,0.000312645072545417,2.7175723498146076,65.78497181675243,0.9088343934093497,1502.721088435374,0.6898000000000001,0.019587667540340484,1,0
100.0,72.0,3,1312.8153539238253,0.0001838865747398333,7.662977576845205,65.78115354433612,0.9087031933324281,2254.081632653061,1.0347000000000002,0.01959881275125514,1,0
100.0,72.0,4,1857.7706986391706,0.0001302464124926467,15.109581093613349,65.77733578422533,0.9085720121956569,3005.442176870748,1.3796000000000002,0.019609963600083182,1,0
100.0,72.0,5,2405.250068056844,0.00010083313975189686,25.08020931270893,65.77351853635696,0.908440849996302,3756.8027210884347,1.7245000000000001,0.019621120089209815,1,0
100.0,72.0,6,2955.2594678247383,8.225717527787752e-05,37.580867882025544,65.76970180066803,0.9083097067316297,4508.163265306122,2.0694000000000004,0.019632282221020567,1,0
100.0,75.0,1,197.80845414668187,0.001213499709874156,0.033375959898629695,65.78871124288503,0.9089628855364096,781.9727891156462,0.35390000000000005,0.016627453239903812,1,0
100.0,75.0,2,648.245928251223,0.0003715441891272112,2.293153256193833,65.7848131209642,0.9088289404193483,1563.9455782312923,0.7078000000000001,0.016637111357013876,1,0
100.0,75.0,3,1100.5827389043588,0.0002193522675631614,6.452267101083875,65.78091553292421,0.9086950150404904,2345.9183673469383,1.0617,0.016646774461721147,1,0
100.0,75.0,4,1555.0091954785928,0.00015561092451196867,12.701026867072132,65.77701847869804,0.9085611093969276,3127.8911564625846,1.4156000000000002,0.01665644255617958,1,0
100.0,75.0,5,2011.5442071516693,0.00012057357661737891,21.05834173190282,65.77312195821855,0.9084272234857512,3909.863945578231,1.7695,0.01666611564254396,1,0
100.0,75.0,6,2470.1927825832604,9.841455939938312e-05,31.52922035524752,65.76922597141879,0.9082933573040538,4691.836734693877,2.1234,0.016675793722969467,1,0
100.0,78.0,1,172.48109105333705,0.001391701087371139,0.030266535157433112,65.78863188445399,0.9089601586518432,812.5850340136054,0.36290000000000006,0.014213384734386492,1,0
100.0,78.0,2,554.3658097044654,0.0004344683300302366,1.9665128827676805,65.78465442606091,0.9088234874620646,1625.1700680272108,0.7258000000000001,0.014221808727444208,1,0
100.0,78.0,3,937.8694677168041,0.0002574146771704964,5.521698591588063,65.78067752350319,0.9086868368221571,2437.7551020408164,1.0887000000000002,0.014230237159344565,1,0
100.0,78.0,4,1323.1481823258414,0.00018288553485355197,10.85194089710706,65.77670117670965,0.9085502067290309,3250.3401360544217,1.4516000000000002,0.014238670032043405,1,0
100.0,78.0,5,1710.217862900809,0.00014182345972331572,17.97314916855656,65.77272538560908,0.9084135971795966,4062.925170068027,1.8145000000000002,0.014247107347497394,1,0
100.0,78.0,6,2099.082750515578,0.00011581931724190946,26.889564479807394,65.76875015013019,0.908277008170765,4875.510204081633,2.1774000000000004,0.014255549107663874,1,0
100.0,81.0,1,152.2511744476453,0.0015766298230703735,0.027744135628735355,65.78855252624425,0.9089574317754575,843.1972789115646,0.37190000000000006,0.012221963461102107,1,0
